,textname,word,tfidf_score
0,Bush_2003,saddam hussein,0.6889524080782712
1,Madison_1815,sum million,0.6012736873854653
2,Truman_1953,free world,0.5838147959745111
3,Clinton_1994,health care,0.5720834981868672
4,Madison_1813,prisoner war,0.5713542616622914
5,Truman_1951,free nation,0.5386821137423827
6,Eisenhower_1960,free world,0.537459496681147
7,Bush_2008,must trust,0.5295953449047804
8,Johnson_1966,south vietnam,0.528710332772788
9,Roosevelt_1942,year shall,0.5275573743561905
10,Biden_2021,job plan,0.5268043980655809
11,Truman_1946,million dollar,0.5184610624919147
12,Carter_1980,soviet union,0.5112684180213165
13,Roosevelt_1938,purchasing power,0.5103498625260863
14,Clinton_1999,21st century,0.5079427997184425
15,Clinton_1996,challenge congress,0.5020689576147076
16,Clinton_1995,new covenant,0.4980313037874672
17,Roosevelt_1944,national service,0.4913441400469798
18,Truman_1947,labor management,0.4789456998573355
19,Grant_1870,san domingo,0.47586199420233244
20,Bush_2005,social security,0.4675142399538997
21,Cleveland_1895,state note,0.4523744043242124
22,Harrison_1892,per cent,0.4498821619571416
23,Obama_2009,health care,0.4498550260671295
24,Nixon_1971,great goal,0.4421018360929668
25,Trump_2020,thank much,0.43981000966302736
26,Eisenhower_1961,eight year,0.435631572041806
27,Bush_2007,al qaeda,0.43271466312627355
28,Roosevelt_1943,time greater,0.4318674160227979
29,Hoover_1930,construction work,0.4310790937015365
30,Monroe_1819,catholic majesty,0.4093882696204186
31,Cleveland_1895,gold reserve,0.4086273441834972
32,Johnson_1865,general government,0.40816610054531904
33,Bush_2001,social security,0.40173617003750645
34,Clinton_1993,health care,0.40168636822768367
35,Bush_2008,al qaeda,0.40114068321382285
36,Buren_1839,public money,0.3904969632775645
37,Roosevelt_1939,billion dollar,0.38996367342705013
38,Clinton_1998,21st century,0.3887010292606971
39,Wilson_1917,austria hungary,0.38859118028195017
40,Biden_2022,audience member,0.38525999869593736
41,Clinton_1999,social security,0.38398855760917644
42,Roosevelt_1943,united nation,0.3819535751033764
43,Nixon_1971,let u,0.3798365501870643
44,Trump_2019,thank much,0.3791721501659593
45,Truman_1946,fiscal year,0.3774082403388834
46,Wilson_1916,commerce commission,0.37402217479280075
47,Roosevelt_1904,forest reserve,0.37252486520123534
48,Biden_2023,finish job,0.37216565812528274
49,Roosevelt_1942,united nation,0.37094699009179033
50,McKinley_1900,military governor,0.36357758250229566
51,Eisenhower_1957,free world,0.3632449108262108
52,Hayes_1877,legal tender,0.36250548937475596
53,Buren_1838,circuit court,0.3616371022607537
54,Trump_2019,audience member,0.3590409320123833
55,Johnson_1868,per cent,0.3584453152738307
56,Roosevelt_1905,santo domingo,0.3531202427793193
57,Truman_1953,free nation,0.35162023054604186
58,Eisenhower_1961,past eight,0.3508770390521552
59,Madison_1816,sum million,0.3486210935671133
60,Truman_1946,billion dollar,0.3455420547554698
61,Truman_1946,dollar fiscal,0.3440227076831695
62,Hayes_1877,commercial value,0.34076153892786754
63,Wilson_1916,interstate commerce,0.3395408394274462
64,Jackson_1835,french government,0.3390255766566523
65,Roosevelt_1939,national income,0.3379998265264494
66,Jefferson_1805,sum million,0.33720577918273864
67,Monroe_1823,post master,0.3369579181518174
68,Adams_1800,gentleman house,0.33619498028534156
69,Cleveland_1887,tariff law,0.3339915502216528
70,Wilson_1919,capital labor,0.3296166402750149
71,Trump_2019,u u,0.32844444206251106
72,Adams_1797,article treaty,0.32647261933313876
73,Hoover_1932,finance corporation,0.3246497451235644
74,Obama_2010,clean energy,0.32415973149146426
75,Jefferson_1804,upward million,0.3239833073712195
76,Polk_1846,mexican government,0.3234015252517438
77,Bush_2007,health insurance,0.3222179618717423
78,Bush_2001,tax relief,0.3186135479345595
79,Roosevelt_1901,wage worker,0.31856121806304166
80,Eisenhower_1958,work peace,0.31743539286278516
81,Eisenhower_1958,security peace,0.31743539286278516
82,Clinton_1998,child care,0.3157573037856054
83,Obama_2012,clean energy,0.3154118052455064
84,Adams_1826,discriminating duty,0.3149441516921555
85,Bush_2002,september 11th,0.3133066894635087
86,Adams_1799,gentleman house,0.31282021537003984
87,Roosevelt_1907,national government,0.31230215594612193
88,Hoover_1931,federal reserve,0.3097577288574266
89,Hayes_1877,silver coinage,0.30668538503508075
90,Biden_2021,american job,0.30567666767345586
91,Washington_1790,co operation,0.30478842898379466
92,Roosevelt_1944,standard living,0.3047579062280567
93,Ford_1975,million barrel,0.30314228705529556
94,Hoover_1930,per cent,0.30268017881974957
95,Cleveland_1895,note treasury,0.30115750287400134
96,Bush_2003,al qaida,0.30000156051022225
97,Buchanan_1860,specific duty,0.29980524229970523
98,Roosevelt_1943,first world,0.299342200825462
99,Roosevelt_1937,form government,0.29903829326156006
