,textname,word,tfidf_score
0,2003_Bush,saddam hussein,0.6795287605435163
1,1994_Clinton,health care,0.5887093271828455
2,1815_Madison,sum million,0.5862440545659909
3,1953_Truman,free world,0.5701029996260638
4,1813_Madison,prisoner war,0.5646300460756465
5,1951_Truman,free nation,0.5446579156649903
6,1960_Eisenhower,free world,0.5374548774554992
7,1999_Clinton,21st century,0.5301330540233641
8,1966_Johnson,south vietnam,0.528226587611086
9,2008_Bush,must trust,0.5263785727255773
10,1980_Carter,soviet union,0.5230644998233438
11,1942_Roosevelt,year shall,0.5228076324629123
12,1995_Clinton,new covenant,0.5014167447181821
13,1996_Clinton,challenge congress,0.4996640238430087
14,1944_Roosevelt,national service,0.49696869025518925
15,1938_Roosevelt,purchasing power,0.4938923547301748
16,1947_Truman,labor management,0.47636731304167784
17,1946_Truman,million dollar,0.46739256122873174
18,2009_Obama,health care,0.4664399492116634
19,1870_Grant,san domingo,0.45796602828305133
20,2005_Bush,social security,0.4553623005799194
21,1971_Nixon,great goal,0.4390813375881685
22,2007_Bush,al qaeda,0.4386814625323136
23,1943_Roosevelt,time greater,0.43574974662585253
24,1930_Hoover,construction work,0.4316462886954016
25,1892_Harrison,per cent,0.42372842025460855
26,1961_Eisenhower,eight year,0.4144837489509904
27,1993_Clinton,health care,0.4083579804655027
28,2001_Bush,social security,0.40383269364089214
29,1998_Clinton,21st century,0.4009991968166428
30,2008_Bush,al qaeda,0.3981872590877633
31,1865_Johnson,general government,0.38686294297762036
32,1999_Clinton,social security,0.38645020735441127
33,1939_Roosevelt,billion dollar,0.386265422463799
34,1917_Wilson,austria hungary,0.3849566705493488
35,1943_Roosevelt,united nation,0.3842460146969783
36,1839_Buren,public money,0.38262258865468635
37,1971_Nixon,let u,0.37919622484736487
38,1895_Cleveland,united state note,0.3782636979154882
39,1895_Cleveland,state note,0.3782636979154882
40,1904_Roosevelt,forest reserve,0.37365121821367275
41,1957_Eisenhower,free world,0.3720785436594706
42,1819_Monroe,catholic majesty,0.3717196582207895
43,1942_Roosevelt,united nation,0.36675834351851044
44,1900_McKinley,military governor,0.35680201965299746
45,1877_Hayes,legal tender,0.3538160116057625
46,1838_Buren,circuit court,0.3505715725901898
47,1905_Roosevelt,santo domingo,0.350041392746005
48,1816_Madison,sum million,0.344426206665132
49,1953_Truman,free nation,0.34259879383816816
50,1895_Cleveland,gold reserve,0.34176559876336604
51,1868_Johnson,per cent,0.33917182371798593
52,1916_Wilson,commerce commission,0.33800688221052644
53,1916_Wilson,interstate commerce commission,0.33800688221052644
54,2010_Obama,clean energy,0.33725410643210596
55,1946_Truman,fiscal year,0.3361443235647929
56,2012_Obama,clean energy,0.3348519877252606
57,1805_Jefferson,sum million,0.3335876103876119
58,2007_Bush,health insurance,0.3333107212747299
59,1877_Hayes,commercial value,0.33293722614895355
60,1919_Wilson,capital labor,0.3329165971860386
61,1961_Eisenhower,past eight year,0.3308518986291676
62,1961_Eisenhower,past eight,0.3308518986291676
63,1887_Cleveland,tariff law,0.32788161621035805
64,1823_Monroe,post master,0.32488456157913786
65,1939_Roosevelt,national income,0.32344572574826513
66,1804_Jefferson,upward million,0.32321707943859346
67,1946_Truman,billion dollar,0.3204342121457765
68,1998_Clinton,child care,0.3200507708713182
69,1974_Nixon,five year ago,0.31951255252858196
70,1901_Roosevelt,wage worker,0.3183067353944969
71,1958_Eisenhower,work peace,0.3182279650766313
72,1958_Eisenhower,security peace,0.3182279650766313
73,1944_Roosevelt,standard living,0.31772394538228044
74,1846_Polk,mexican government,0.31735168407092823
